fitness_length,fitness_ml_metric
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
1,0.42197177
2,0.41903776
1,0.42197177
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
1,0.42197177
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
1,0.42197177
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
1,0.42197177
2,0.41903776
1,0.42197177
2,0.41903776
1,0.42197177
2,0.41903776
1,0.42197177
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
2,0.41903776
2,0.41903776
1,0.42197177
1,0.42197177
2,0.41903776
