fitness_length,fitness_ml_metric
2,0.41985458
3,0.4195507
1,0.43307155
3,0.4195507
3,0.4195507
2,0.41985458
2,0.41985458
1,0.43307155
2,0.41985458
3,0.4195507
2,0.41985458
3,0.4195507
3,0.4195507
3,0.4195507
3,0.4195507
1,0.43307155
3,0.4195507
1,0.43307155
2,0.41985458
3,0.4195507
3,0.4195507
2,0.41985458
3,0.4195507
2,0.41985458
2,0.41985458
2,0.41985458
2,0.41985458
2,0.41985458
3,0.4195507
2,0.41985458
1,0.43307155
1,0.43307155
1,0.43307155
2,0.41985458
3,0.4195507
3,0.4195507
3,0.4195507
1,0.43307155
1,0.43307155
2,0.41985458
1,0.43307155
2,0.41985458
1,0.43307155
1,0.43307155
3,0.4195507
2,0.41985458
2,0.41985458
3,0.4195507
3,0.4195507
2,0.41985458
1,0.43307155
2,0.41985458
3,0.4195507
2,0.41985458
2,0.41985458
2,0.41985458
3,0.4195507
2,0.41985458
1,0.43307155
2,0.41985458
1,0.43307155
3,0.4195507
1,0.43307155
3,0.4195507
2,0.41985458
3,0.4195507
3,0.4195507
2,0.41985458
3,0.4195507
3,0.4195507
2,0.41985458
2,0.41985458
2,0.41985458
3,0.4195507
2,0.41985458
2,0.41985458
3,0.4195507
3,0.4195507
2,0.41985458
3,0.4195507
3,0.4195507
1,0.43307155
2,0.41985458
2,0.41985458
2,0.41985458
2,0.41985458
1,0.43307155
3,0.4195507
3,0.4195507
2,0.41985458
2,0.41985458
2,0.41985458
3,0.4195507
2,0.41985458
2,0.41985458
1,0.43307155
1,0.43307155
3,0.4195507
2,0.41985458
3,0.4195507
1,0.43307155
2,0.41985458
3,0.4195507
1,0.43307155
2,0.41985458
2,0.41985458
1,0.43307155
3,0.4195507
3,0.4195507
2,0.41985458
3,0.4195507
2,0.41985458
2,0.41985458
2,0.41985458
1,0.44088697
2,0.42849964
1,0.44088697
3,0.42450267
2,0.42849964
4,0.4237904
3,0.42450267
2,0.42849964
2,0.42849964
3,0.42450267
3,0.42450267
1,0.44088697
1,0.44088697
4,0.4237904
2,0.42849964
4,0.4237904
3,0.42450267
2,0.42849964
1,0.44088697
4,0.4237904
2,0.42849964
3,0.42450267
3,0.42450267
3,0.42450267
3,0.42450267
1,0.44088697
3,0.42450267
3,0.42450267
1,0.44088697
2,0.42849964
2,0.42849964
2,0.42849964
3,0.42450267
3,0.42450267
4,0.4237904
3,0.42450267
1,0.44088697
1,0.44088697
3,0.42450267
3,0.42450267
2,0.42849964
4,0.4237904
3,0.42450267
1,0.44088697
4,0.4237904
2,0.42849964
3,0.42450267
1,0.44088697
2,0.42849964
2,0.42849964
1,0.44088697
3,0.42450267
3,0.42450267
3,0.42450267
3,0.42450267
4,0.4237904
4,0.4237904
1,0.44088697
3,0.42450267
1,0.44088697
3,0.42450267
2,0.42849964
3,0.42450267
3,0.42450267
4,0.4237904
2,0.42849964
3,0.42450267
3,0.42450267
4,0.4237904
4,0.4237904
3,0.42450267
2,0.42849964
4,0.4237904
3,0.42450267
