fitness_length,fitness_ml_metric
7,0.4454112
2,0.51205057
7,0.4454112
7,0.4454112
1,0.6447236
3,0.47612512
3,0.47612512
7,0.4454112
7,0.4454112
7,0.4454112
7,0.4454112
7,0.4454112
4,0.4703582
6,0.44694477
5,0.45263126
3,0.47612512
2,0.51205057
3,0.47612512
5,0.45263126
7,0.4454112
4,0.47145483
4,0.47145483
5,0.45424962
6,0.45059282
5,0.45424962
5,0.45424962
6,0.45059282
7,0.44866306
1,0.66323465
3,0.48474905
3,0.48474905
3,0.48474905
5,0.45424962
3,0.48474905
4,0.47145483
1,0.66323465
7,0.44866306
4,0.47145483
2,0.5182236
4,0.47145483
6,0.45059282
2,0.5182236
2,0.5182236
6,0.45059282
3,0.48474905
1,0.66323465
2,0.5182236
5,0.45424962
4,0.47145483
6,0.45071745
6,0.45071745
1,0.66424483
4,0.4721835
6,0.45071745
2,0.51910216
3,0.48885718
3,0.48885718
6,0.45071745
5,0.45611656
8,0.44970098
6,0.45071745
4,0.47285435
5,0.45753136
7,0.45115674
3,0.49382797
3,0.49382797
6,0.45139968
3,0.49382797
7,0.45115674
7,0.45115674
3,0.49382797
5,0.45753136
2,0.5289061
3,0.49382797
7,0.45115674
3,0.49382797
7,0.45115674
5,0.46057743
6,0.45377952
3,0.4966228
7,0.4531591
4,0.47324526
6,0.45377952
7,0.4531591
6,0.45377952
5,0.46057743
5,0.46057743
2,0.52989644
2,0.53838485
5,0.463464
5,0.463464
5,0.463464
6,0.45540518
3,0.5027462
7,0.45456645
6,0.45540518
7,0.45456645
6,0.45540518
3,0.5027462
5,0.463464
5,0.463464
6,0.45540518
5,0.463464
7,0.45456645
2,0.53838485
5,0.463464
6,0.45540518
5,0.463464
6,0.45540518
6,0.45540518
6,0.45540518
4,0.4735433
6,0.45540518
4,0.47772515
4,0.47772515
4,0.47772515
4,0.47772515
6,0.45644242
3,0.50934213
6,0.45644242
6,0.45644242
4,0.47772515
2,0.5917048
4,0.47772515
5,0.46354282
2,0.5917364
2,0.5917364
2,0.5917364
5,0.4642972
5,0.4642972
3,0.50992334
7,0.45681992
6,0.45689762
7,0.45681992
6,0.45689762
4,0.47891438
5,0.4642972
7,0.45681992
6,0.45689762
2,0.5917364
6,0.45689762
3,0.50992334
5,0.4642972
2,0.5917364
2,0.5917364
5,0.4642972
3,0.50992334
2,0.5951529
3,0.51257646
6,0.45888984
6,0.45888984
7,0.45780167
4,0.48019573
2,0.5951529
5,0.46656415
2,0.61765337
7,0.45814678
3,0.5163922
4,0.4817529
3,0.5163922
5,0.46724412
2,0.61765337
6,0.45896044
8,0.45833218
3,0.51980245
4,0.48272339
6,0.45916712
5,0.46857208
2,0.62703234
6,0.45916712
5,0.46895236
2,0.63024634
2,0.63024634
5,0.46895236
5,0.46895236
10,0.45895144
6,0.45995897
5,0.46895236
4,0.48274636
5,0.46895236
3,0.5250907
2,0.63024634
2,0.63024634
2,0.63245934
7,0.46060935
2,0.63245934
4,0.48332155
9,0.46060184
7,0.46060935
6,0.46217164
6,0.46217164
5,0.46923822
3,0.5266008
4,0.48489255
6,0.46311215
7,0.46200746
8,0.46065632
7,0.46200746
3,0.5281961
3,0.5281961
4,0.48489255
2,0.64160824
4,0.48489255
4,0.48489255
8,0.46065632
7,0.46200746
4,0.48489255
6,0.46311215
5,0.46942067
4,0.48498967
9,0.46147907
9,0.46147907
3,0.53729916
2,0.6629998
5,0.46977535
4,0.48498967
8,0.46249467
6,0.4637005
3,0.53729916
9,0.46147907
4,0.4859252
2,0.6683646
6,0.4645722
7,0.46406466
7,0.46406466
7,0.46406466
9,0.46376905
9,0.46376905
2,0.6683646
2,0.6683646
2,0.6683646
5,0.47051647
4,0.4859252
9,0.46376905
3,0.5386201
9,0.46376905
4,0.48642197
5,0.47153884
5,0.47153884
2,0.66974723
6,0.46457687
6,0.46457687
8,0.4640742
3,0.53890693
2,0.66974723
4,0.48642197
5,0.47153884
5,0.47153884
4,0.48642197
8,0.4640742
4,0.48642197
3,0.53890693
4,0.48737776
2,0.6830256
3,0.54206854
6,0.46605486
2,0.6830256
5,0.47159693
4,0.48737776
4,0.48737776
6,0.46609947
3,0.56073916
4,0.48984522
4,0.48984522
5,0.4723236
