fitness_length,fitness_ml_metric
2,0.5032021
1,0.6115065
5,0.45459524
3,0.47891724
2,0.5032021
4,0.45705962
1,0.6115065
6,0.45254585
5,0.45459524
4,0.45705962
2,0.5032021
7,0.44821876
1,0.6115065
1,0.6115065
1,0.64675057
6,0.45337442
6,0.45337442
5,0.45592844
6,0.45337442
2,0.5081663
4,0.45774332
6,0.45337442
6,0.45337442
9,0.45020622
5,0.45592844
2,0.5081663
5,0.45592844
8,0.45138377
7,0.45161027
7,0.45161027
6,0.45337442
5,0.45592844
3,0.48033968
7,0.45161027
7,0.45161027
6,0.45337442
7,0.45191413
3,0.48159257
7,0.45191413
3,0.48159257
1,0.66465175
2,0.5144155
5,0.45614195
1,0.66465175
4,0.45918897
7,0.45191413
6,0.45372733
7,0.45191413
3,0.48159257
3,0.48159257
8,0.45238498
6,0.45444283
5,0.45952833
4,0.4610885
1,0.66506755
3,0.48176944
1,0.66506755
1,0.66506755
4,0.4610885
6,0.45444283
2,0.52967
7,0.452417
7,0.45248723
4,0.4643766
5,0.4619159
3,0.48196098
3,0.48196098
7,0.45248723
6,0.45568013
4,0.4643766
2,0.5296728
3,0.4870706
3,0.4870706
8,0.4533775
8,0.4533775
4,0.46993822
5,0.46368587
2,0.52967614
4,0.46993822
3,0.4870706
7,0.4535204
3,0.4870706
7,0.4535204
8,0.4533775
8,0.4533775
8,0.4533775
6,0.45642552
3,0.4951013
4,0.47273782
4,0.47273782
5,0.46387008
5,0.46387008
6,0.45759228
2,0.5315449
6,0.45759228
8,0.45405957
2,0.57303345
2,0.57303345
6,0.45787883
8,0.45731708
6,0.45787883
8,0.45731708
8,0.45731708
3,0.50158423
2,0.57303345
10,0.4542025
4,0.47600698
5,0.46399835
10,0.4542025
4,0.47600698
2,0.5914581
3,0.50193894
6,0.45816916
4,0.47609544
4,0.47609544
5,0.46542534
5,0.46542534
2,0.5914581
4,0.47609544
2,0.5914581
6,0.45816916
2,0.59831977
7,0.45896164
5,0.4661235
5,0.4661235
5,0.4661235
4,0.47609982
5,0.4661235
3,0.5066996
6,0.45921424
7,0.45896164
7,0.45896164
4,0.47609982
7,0.45896164
4,0.47609982
2,0.6013839
3,0.5101002
5,0.46791133
4,0.47696498
4,0.47696498
7,0.45896697
6,0.46002024
5,0.46791133
4,0.47696498
3,0.5101002
3,0.510516
7,0.45918274
2,0.60343325
2,0.60343325
6,0.4600979
7,0.45918274
4,0.47825062
5,0.4698731
8,0.4593148
7,0.4602348
8,0.4593148
3,0.5126539
8,0.4593148
7,0.4602348
8,0.4593148
4,0.47970742
4,0.47970742
4,0.47970742
6,0.4605418
3,0.5126539
8,0.4593148
2,0.60513395
8,0.4593148
3,0.5126539
8,0.4593148
5,0.4705967
6,0.46457577
6,0.46457577
6,0.46457577
9,0.45998272
5,0.47119698
4,0.48147124
4,0.48147124
4,0.48147124
6,0.46457577
3,0.51354694
6,0.46457577
6,0.46457577
5,0.47119698
8,0.46049458
6,0.46457577
4,0.48147124
5,0.47119698
7,0.4607344
2,0.6051895
2,0.60558534
2,0.60558534
3,0.51688856
6,0.46493647
3,0.51688856
3,0.51688856
7,0.46126842
7,0.46126842
3,0.51688856
5,0.4714458
2,0.60558534
4,0.48260123
8,0.4607252
3,0.51688856
3,0.51688856
3,0.51688856
3,0.51688856
7,0.46126842
5,0.4714458
7,0.46126842
7,0.46126842
7,0.46126842
7,0.46126842
2,0.60558534
8,0.46134853
6,0.46571776
3,0.51937914
7,0.46205625
3,0.51937914
3,0.51937914
7,0.46205625
8,0.46134853
3,0.51937914
2,0.6342983
4,0.4827622
8,0.46134853
5,0.47228354
3,0.5271799
8,0.46217403
6,0.46617094
6,0.46617094
5,0.4729019
4,0.48309347
4,0.48309347
2,0.63982606
2,0.63982606
6,0.46617094
7,0.46456653
8,0.46217403
3,0.5271799
8,0.46217403
2,0.6446828
2,0.6446828
7,0.46556875
7,0.46556875
8,0.46271205
8,0.46271205
8,0.46271205
3,0.5297294
6,0.46679825
5,0.4732765
5,0.4732765
5,0.4732765
4,0.4855741
4,0.4855741
5,0.4732765
8,0.46271205
3,0.5297294
6,0.46679825
2,0.6478428
7,0.46655416
3,0.54280734
9,0.46357504
5,0.47371158
4,0.48773476
6,0.46703556
8,0.46590582
9,0.46357504
7,0.4669369
6,0.46917742
5,0.4743424
4,0.4903394
4,0.4903394
3,0.5583975
2,0.64829886
4,0.4903394
2,0.6490236
2,0.6490236
