features,loss
0000000000001,0.48426968
0000000000010,0.47378278
0000000000011,0.42134833
0000000000100,0.4775281
0000000000101,0.44644195
0000000000110,0.42059922
0000000000111,0.44906366
0000000001000,0.4786517
0000000001001,0.4430712
0000000001010,0.46067417
0000000001011,0.46779025
0000000001100,0.48501873
0000000001101,0.48164797
0000000001110,0.4853933
0000000001111,0.459176
0000000010000,0.47116107
0000000010001,0.42022473
0000000010010,0.44494385
0000000010011,0.4247191
0000000010100,0.43595505
0000000010101,0.45168537
0000000010110,0.44344568
0000000010111,0.41573036
0000000011000,0.43183523
0000000011001,0.49288392
0000000011010,0.46254683
0000000011011,0.44382024
0000000011100,0.4707865
0000000011101,0.48202246
0000000011110,0.46441948
0000000011111,0.4659176
0000000100000,0.5434457
0000000100001,0.44868916
0000000100010,0.45430714
0000000100011,0.45056182
0000000100100,0.4853933
0000000100101,0.4812734
0000000100110,0.4988764
0000000100111,0.43932587
0000000101000,0.47228462
0000000101001,0.46367043
0000000101010,0.4764045
0000000101011,0.45318353
0000000101100,0.48464417
0000000101101,0.4685393
0000000101110,0.47340822
0000000101111,0.4389513
0000000110000,0.435206
0000000110001,0.43932587
0000000110010,0.46142322
0000000110011,0.41760302
0000000110100,0.48988765
0000000110101,0.43071163
0000000110110,0.43970037
0000000110111,0.44044942
0000000111000,0.47453183
0000000111001,0.45992512
0000000111010,0.46404493
0000000111011,0.44868916
0000000111100,0.4659176
0000000111101,0.47003746
0000000111110,0.45430714
0000000111111,0.4337079
0000001000000,0.45018727
0000001000001,0.46741575
0000001000010,0.45168537
0000001000011,0.44344568
0000001000100,0.47677904
0000001000101,0.47228462
0000001000110,0.44044942
0000001000111,0.435206
0000001001000,0.46516854
0000001001001,0.44906366
0000001001010,0.4764045
0000001001011,0.46142322
0000001001100,0.5161049
0000001001101,0.48501873
0000001001110,0.4696629
0000001001111,0.45955056
0000001010000,0.4812734
0000001010001,0.43820226
0000001010010,0.43857676
0000001010011,0.4168539
0000001010100,0.46067417
0000001010101,0.45955056
0000001010110,0.4389513
0000001010111,0.42546815
0000001011000,0.47041196
0000001011001,0.46067417
0000001011010,0.46404493
0000001011011,0.4367041
0000001011100,0.4790262
0000001011101,0.48726594
0000001011110,0.44756556
0000001011111,0.4367041
0000001100000,0.49962544
0000001100001,0.49700373
0000001100010,0.46741575
0000001100011,0.43295878
0000001100100,0.506367
0000001100101,0.4659176
0000001100110,0.47303373
0000001100111,0.42247188
0000001101000,0.48988765
0000001101001,0.47490638
0000001101010,0.46292132
0000001101011,0.42808992
0000001101100,0.49138576
0000001101101,0.45205992
0000001101110,0.46441948
0000001101111,0.447191
0000001110000,0.4775281
0000001110001,0.4389513
0000001110010,0.44344568
0000001110011,0.42659175
0000001110100,0.48089886
0000001110101,0.44794005
0000001110110,0.42958802
0000001110111,0.41760302
0000001111000,0.44531834
0000001111001,0.45393258
0000001111010,0.43445694
0000001111011,0.4258427
0000001111100,0.46479398
0000001111101,0.46254683
0000001111110,0.43071163
0000001111111,0.44344568
0000010000000,0.45243448
0000010000001,0.47228462
0000010000010,0.46479398
0000010000011,0.4363296
0000010000100,0.4692884
0000010000101,0.46292132
0000010000110,0.45205992
0000010000111,0.45318353
0000010001000,0.4561798
0000010001001,0.47453183
0000010001010,0.47303373
0000010001011,0.44868916
0000010001100,0.4921348
0000010001101,0.48352063
0000010001110,0.45692885
0000010001111,0.45955056
0000010010000,0.4692884
0000010010001,0.43295878
0000010010010,0.4554307
0000010010011,0.4179775
0000010010100,0.45056182
0000010010101,0.45730335
0000010010110,0.45955056
0000010010111,0.43333334
0000010011000,0.4588015
0000010011001,0.4670412
0000010011010,0.46479398
0000010011011,0.43220973
0000010011100,0.44906366
0000010011101,0.47827715
0000010011110,0.45468163
0000010011111,0.4561798
0000010100000,0.47490638
0000010100001,0.46779025
0000010100010,0.50898874
0000010100011,0.44194758
0000010100100,0.5067416
0000010100101,0.4494382
0000010100110,0.4790262
0000010100111,0.43220973
0000010101000,0.4775281
0000010101001,0.47265917
0000010101010,0.48089886
0000010101011,0.44194758
0000010101100,0.47228462
0000010101101,0.46142322
0000010101110,0.48052436
0000010101111,0.4483146
0000010110000,0.45955056
0000010110001,0.43445694
0000010110010,0.46441948
0000010110011,0.44194758
0000010110100,0.459176
0000010110101,0.4430712
0000010110110,0.44494385
0000010110111,0.43445694
0000010111000,0.45280898
0000010111001,0.46254683
0000010111010,0.45131087
0000010111011,0.45018727
0000010111100,0.4468165
0000010111101,0.4588015
0000010111110,0.45093632
0000010111111,0.4456929
0000011000000,0.4588015
0000011000001,0.45093632
0000011000010,0.4483146
0000011000011,0.4325843
0000011000100,0.49475658
0000011000101,0.47790265
0000011000110,0.44868916
0000011000111,0.4456929
0000011001000,0.51011235
0000011001001,0.45430714
0000011001010,0.46741575
0000011001011,0.4430712
0000011001100,0.49550563
0000011001101,0.48164797
0000011001110,0.44494385
0000011001111,0.45393258
0000011010000,0.488015
0000011010001,0.44794005
0000011010010,0.447191
0000011010011,0.4430712
0000011010100,0.4561798
0000011010101,0.47003746
0000011010110,0.4378277
0000011010111,0.42958802
0000011011000,0.46629214
0000011011001,0.4670412
0000011011010,0.45842695
0000011011011,0.44906366
0000011011100,0.45730335
0000011011101,0.46367043
0000011011110,0.4374532
0000011011111,0.45468163
0000011100000,0.54943824
0000011100001,0.48314607
0000011100010,0.4685393
0000011100011,0.42509365
0000011100100,0.50861424
0000011100101,0.45992512
0000011100110,0.44419473
0000011100111,0.4235955
0000011101000,0.49438202
0000011101001,0.45168537
0000011101010,0.46404493
0000011101011,0.41573036
0000011101100,0.48052436
0000011101101,0.4498127
0000011101110,0.44906366
0000011101111,0.43445694
0000011110000,0.45805246
0000011110001,0.4374532
0000011110010,0.46441948
0000011110011,0.42958802
0000011110100,0.4550562
0000011110101,0.44344568
0000011110110,0.45168537
0000011110111,0.43820226
0000011111000,0.44531834
0000011111001,0.44269663
0000011111010,0.45168537
0000011111011,0.4430712
0000011111100,0.45018727
0000011111101,0.46516854
0000011111110,0.46217227
0000011111111,0.43707865
0000100000000,0.5962547
0000100000001,0.4685393
0000100000010,0.47340822
0000100000011,0.45243448
0000100000100,0.48352063
0000100000101,0.45842695
0000100000110,0.47003746
0000100000111,0.4554307
0000100001000,0.4917603
0000100001001,0.47303373
0000100001010,0.49550563
0000100001011,0.47940075
0000100001100,0.5041199
0000100001101,0.47827715
0000100001110,0.46217227
0000100001111,0.46479398
0000100010000,0.46367043
0000100010001,0.48764044
0000100010010,0.45168537
0000100010011,0.43595505
0000100010100,0.48501873
0000100010101,0.45168537
0000100010110,0.43220973
0000100010111,0.423221
0000100011000,0.47827715
0000100011001,0.46217227
0000100011010,0.45955056
0000100011011,0.4430712
0000100011100,0.46179777
0000100011101,0.4588015
0000100011110,0.44868916
0000100011111,0.4468165
0000100100000,0.5303371
0000100100001,0.5116105
0000100100010,0.5078652
0000100100011,0.45280898
0000100100100,0.5078652
0000100100101,0.47041196
0000100100110,0.45205992
0000100100111,0.4460674
0000100101000,0.47265917
0000100101001,0.46329588
0000100101010,0.45730335
0000100101011,0.45131087
0000100101100,0.47378278
0000100101101,0.46629214
0000100101110,0.46104866
0000100101111,0.4389513
0000100110000,0.49588013
0000100110001,0.47153556
0000100110010,0.4460674
0000100110011,0.43558055
0000100110100,0.45955056
0000100110101,0.4456929
0000100110110,0.43932587
0000100110111,0.4374532
0000100111000,0.46741575
0000100111001,0.45205992
0000100111010,0.45468163
0000100111011,0.43932587
0000100111100,0.47003746
0000100111101,0.45131087
0000100111110,0.42996258
0000100111111,0.44906366
0000101000000,0.47415727
0000101000001,0.49962544
0000101000010,0.48988765
0000101000011,0.46367043
0000101000100,0.5198502
0000101000101,0.45430714
0000101000110,0.47677904
0000101000111,0.46104866
0000101001000,0.523221
0000101001001,0.46254683
0000101001010,0.48052436
0000101001011,0.4692884
0000101001100,0.5067416
0000101001101,0.48052436
0000101001110,0.45580524
0000101001111,0.4655431
0000101010000,0.4797753
0000101010001,0.48239702
0000101010010,0.47603
0000101010011,0.43220973
0000101010100,0.4764045
0000101010101,0.4445693
0000101010110,0.43033707
0000101010111,0.4389513
0000101011000,0.47603
0000101011001,0.46629214
0000101011010,0.45056182
0000101011011,0.43857676
0000101011100,0.47228462
0000101011101,0.4468165
0000101011110,0.44531834
0000101011111,0.4576779
0000101100000,0.53370786
0000101100001,0.47453183
0000101100010,0.4659176
0000101100011,0.45243448
0000101100100,0.5187266
0000101100101,0.46516854
0000101100110,0.46666664
0000101100111,0.42621726
0000101101000,0.4670412
0000101101001,0.46479398
0000101101010,0.46067417
0000101101011,0.4378277
0000101101100,0.4655431
0000101101101,0.46067417
0000101101110,0.4554307
0000101101111,0.4494382
0000101110000,0.4775281
0000101110001,0.44082397
0000101110010,0.4456929
0000101110011,0.42134833
0000101110100,0.46441948
0000101110101,0.44419473
0000101110110,0.42958802
0000101110111,0.4378277
0000101111000,0.46441948
0000101111001,0.45243448
0000101111010,0.44531834
0000101111011,0.4468165
0000101111100,0.4565543
0000101111101,0.4602996
0000101111110,0.44868916
0000101111111,0.44269663
0000110000000,0.47228462
0000110000001,0.4790262
0000110000010,0.48988765
0000110000011,0.4554307
0000110000100,0.5093633
0000110000101,0.4670412
0000110000110,0.44531834
0000110000111,0.43707865
0000110001000,0.5157304
0000110001001,0.45355803
0000110001010,0.46666664
0000110001011,0.45430714
0000110001100,0.49288392
0000110001101,0.45805246
0000110001110,0.447191
0000110001111,0.45730335
0000110010000,0.47228462
0000110010001,0.45992512
0000110010010,0.45355803
0000110010011,0.4337079
0000110010100,0.4659176
0000110010101,0.43146068
0000110010110,0.42996258
0000110010111,0.43108612
0000110011000,0.46516854
0000110011001,0.45842695
0000110011010,0.45056182
0000110011011,0.4445693
0000110011100,0.46179777
0000110011101,0.45093632
0000110011110,0.44382024
0000110011111,0.4670412
0000110100000,0.5224719
0000110100001,0.48089886
0000110100010,0.47415727
0000110100011,0.4561798
0000110100100,0.5011236
0000110100101,0.45243448
0000110100110,0.47940075
0000110100111,0.45131087
0000110101000,0.4868914
0000110101001,0.47041196
0000110101010,0.45393258
0000110101011,0.459176
0000110101100,0.48576778
0000110101101,0.45992512
0000110101110,0.46067417
0000110101111,0.4456929
0000110110000,0.46479398
0000110110001,0.44794005
0000110110010,0.459176
0000110110011,0.4498127
0000110110100,0.45692885
0000110110101,0.4468165
0000110110110,0.4445693
0000110110111,0.43970037
0000110111000,0.46666664
0000110111001,0.44794005
0000110111010,0.43071163
0000110111011,0.44868916
0000110111100,0.45355803
0000110111101,0.46142322
0000110111110,0.4498127
0000110111111,0.43707865
0000111000000,0.54456925
0000111000001,0.48239702
0000111000010,0.48239702
0000111000011,0.44344568
0000111000100,0.5164794
0000111000101,0.4812734
0000111000110,0.4561798
0000111000111,0.44644195
0000111001000,0.5138577
0000111001001,0.44232208
0000111001010,0.4790262
0000111001011,0.44644195
0000111001100,0.5037453
0000111001101,0.46217227
0000111001110,0.46441948
0000111001111,0.47415727
0000111010000,0.46367043
0000111010001,0.45692885
0000111010010,0.45018727
0000111010011,0.45093632
0000111010100,0.46329588
0000111010101,0.44007492
0000111010110,0.44119853
0000111010111,0.45131087
0000111011000,0.44419473
0000111011001,0.44082397
0000111011010,0.45056182
0000111011011,0.44531834
0000111011100,0.45580524
0000111011101,0.45355803
0000111011110,0.45205992
0000111011111,0.459176
0000111100000,0.5164794
0000111100001,0.4764045
0000111100010,0.48202246
0000111100011,0.45131087
0000111100100,0.51273406
0000111100101,0.4576779
0000111100110,0.4576779
0000111100111,0.45280898
0000111101000,0.48089886
0000111101001,0.45992512
0000111101010,0.4565543
0000111101011,0.46292132
0000111101100,0.48164797
0000111101101,0.4550562
0000111101110,0.4550562
0000111101111,0.43820226
0000111110000,0.47041196
0000111110001,0.46104866
0000111110010,0.44344568
0000111110011,0.45955056
0000111110100,0.46891385
0000111110101,0.45168537
0000111110110,0.45056182
0000111110111,0.44119853
0000111111000,0.44906366
0000111111001,0.45842695
0000111111010,0.43857676
0000111111011,0.44868916
0000111111100,0.4797753
0000111111101,0.45955056
0000111111110,0.4602996
0000111111111,0.43970037
0001000000000,0.5209738
0001000000001,0.4681648
0001000000010,0.48876405
0001000000011,0.45131087
0001000000100,0.48876405
0001000000101,0.4801498
0001000000110,0.46441948
0001000000111,0.45692885
0001000001000,0.5247191
0001000001001,0.4906367
0001000001010,0.49700373
0001000001011,0.48277152
0001000001100,0.5262172
0001000001101,0.47603
0001000001110,0.4891386
0001000001111,0.47565544
0001000010000,0.47677904
0001000010001,0.47490638
0001000010010,0.4921348
0001000010011,0.43295878
0001000010100,0.4696629
0001000010101,0.46254683
0001000010110,0.43146068
0001000010111,0.4460674
0001000011000,0.5142322
0001000011001,0.48576778
0001000011010,0.488015
0001000011011,0.45805246
0001000011100,0.48239702
0001000011101,0.47191012
0001000011110,0.45393258
0001000011111,0.4561798
0001000100000,0.5456929
0001000100001,0.49138576
0001000100010,0.52846444
0001000100011,0.47265917
0001000100100,0.51235956
0001000100101,0.48089886
0001000100110,0.49363297
0001000100111,0.46516854
0001000101000,0.47677904
0001000101001,0.46666664
0001000101010,0.48277152
0001000101011,0.46104866
0001000101100,0.47116107
0001000101101,0.4801498
0001000101110,0.46666664
0001000101111,0.46179777
0001000110000,0.50074905
0001000110001,0.46217227
0001000110010,0.46292132
0001000110011,0.43932587
0001000110100,0.47415727
0001000110101,0.45992512
0001000110110,0.4456929
0001000110111,0.44419473
0001000111000,0.4707865
0001000111001,0.45243448
0001000111010,0.47003746
0001000111011,0.4460674
0001000111100,0.47528088
0001000111101,0.45955056
0001000111110,0.43857676
0001000111111,0.4602996
0001001000000,0.49513108
0001001000001,0.50749063
0001001000010,0.5067416
0001001000011,0.4692884
0001001000100,0.5475656
0001001000101,0.49101126
0001001000110,0.4554307
0001001000111,0.42958802
0001001001000,0.52584267
0001001001001,0.47415727
0001001001010,0.49138576
0001001001011,0.4681648
0001001001100,0.49662924
0001001001101,0.47827715
0001001001110,0.47228462
0001001001111,0.4659176
0001001010000,0.48389512
0001001010001,0.47827715
0001001010010,0.47827715
0001001010011,0.46142322
0001001010100,0.48314607
0001001010101,0.46254683
0001001010110,0.44119853
0001001010111,0.43483144
0001001011000,0.51123595
0001001011001,0.47116107
0001001011010,0.4883895
0001001011011,0.46104866
0001001011100,0.47191012
0001001011101,0.48426968
0001001011110,0.45018727
0001001011111,0.47378278
0001001100000,0.5599251
0001001100001,0.5026217
0001001100010,0.51348317
0001001100011,0.45805246
0001001100100,0.50861424
0001001100101,0.48501873
0001001100110,0.48277152
0001001100111,0.45205992
0001001101000,0.48576778
0001001101001,0.48239702
0001001101010,0.46741575
0001001101011,0.4554307
0001001101100,0.47790265
0001001101101,0.4696629
0001001101110,0.4685393
0001001101111,0.46329588
0001001110000,0.48764044
0001001110001,0.4576779
0001001110010,0.4764045
0001001110011,0.435206
0001001110100,0.48464417
0001001110101,0.46779025
0001001110110,0.44906366
0001001110111,0.45056182
0001001111000,0.46666664
0001001111001,0.4468165
0001001111010,0.44794005
0001001111011,0.4498127
0001001111100,0.4707865
0001001111101,0.48052436
0001001111110,0.4685393
0001001111111,0.45393258
0001010000000,0.46367043
0001010000001,0.47940075
0001010000010,0.49662924
0001010000011,0.44419473
0001010000100,0.505618
0001010000101,0.47303373
0001010000110,0.45468163
0001010000111,0.43445694
0001010001000,0.53220975
0001010001001,0.4797753
0001010001010,0.49325842
0001010001011,0.46404493
0001010001100,0.4973783
0001010001101,0.4692884
0001010001110,0.4655431
0001010001111,0.45318353
0001010010000,0.4812734
0001010010001,0.47116107
0001010010010,0.46217227
0001010010011,0.43820226
0001010010100,0.46666664
0001010010101,0.42546815
0001010010110,0.4374532
0001010010111,0.4340824
0001010011000,0.4790262
0001010011001,0.47677904
0001010011010,0.48239702
0001010011011,0.459176
0001010011100,0.47415727
