,features,loss,int_rep
640,00000000001,0.5101575765547444,1
2002,00000000010,0.65534259299477,2
765,00000000011,0.5179813243967948,3
1951,00000000100,0.6467505619563716,4
476,00000000101,0.4909457104415003,5
1956,00000000110,0.6478428471909172,6
436,00000000111,0.4870705806153077,7
2040,00000001000,0.6650675631109781,8
935,00000001001,0.5315449314496934,9
2039,00000001010,0.6650623510834477,10
904,00000001011,0.5298860256199036,11
2014,00000001100,0.6576292099257156,12
347,00000001101,0.4789172326951885,13
2015,00000001110,0.6582319447741712,14
349,00000001111,0.478977148694427,15
1793,00000010000,0.6115065111699908,16
1534,00000010001,0.5730334648400659,17
1790,00000010010,0.6055853079578655,18
1541,00000010011,0.5738800901139343,19
1781,00000010100,0.6034332765623235,20
1449,00000010101,0.5663508430276709,21
1780,00000010110,0.6030429726139286,22
1422,00000010111,0.5654691849705573,23
1757,00000011000,0.5983197852951189,24
1484,00000011001,0.5686420698818372,25
1755,00000011010,0.5979994144696207,26
1492,00000011011,0.5692259452769202,27
1748,00000011100,0.5975656104639615,28
1385,00000011101,0.5619806715477664,29
1742,00000011110,0.5970744085920221,30
1372,00000011111,0.5614514621130573,31
2023,00000100000,0.6608696673461391,32
627,00000100001,0.5081662976241528,33
2006,00000100010,0.6560000169839282,34
616,00000100011,0.5066996099991155,35
2000,00000100100,0.6551355825378844,36
380,00000100101,0.481592574735587,37
1997,00000100110,0.654415420856201,38
381,00000100111,0.4816164539398786,39
2041,00000101000,0.6650706686242526,40
775,00000101001,0.5193791595645559,41
1999,00000101010,0.6548708719159159,42
706,00000101011,0.5143993355869517,43
2033,00000101100,0.6638731275797115,44
269,00000101101,0.4745238451520871,45
2038,00000101110,0.6649910903711802,46
275,00000101111,0.4750380067958173,47
1776,00000110000,0.6013838983934059,48
1513,00000110001,0.5710772273048821,49
1767,00000110010,0.600358232390735,50
1525,00000110011,0.5722276093780078,51
1765,00000110100,0.5996253692593096,52
1426,00000110101,0.5656814839408867,53
1763,00000110110,0.5988711409007335,54
1415,00000110111,0.5648132259943172,55
1735,00000111000,0.5949085525212106,56
1465,00000111001,0.5677657146911065,57
1722,00000111010,0.5942972976743403,58
1476,00000111011,0.5682229043446614,59
1734,00000111100,0.5948896260023352,60
1378,00000111101,0.5617928945696659,61
1713,00000111110,0.5929377171091478,62
1348,00000111111,0.5598800775003359,63
2037,00001000000,0.6646517628399657,64
749,00001000001,0.5169183180800986,65
2036,00001000010,0.6644008118221026,66
689,00001000011,0.5135469316323339,67
1960,00001000100,0.6482988874456919,68
329,00001000101,0.4776292364744298,69
1938,00001000110,0.6444315388153526,70
301,00001000111,0.4760998181195395,71
2025,00001001000,0.6612089977604132,72
819,00001001001,0.5260461479833578,73
2032,00001001010,0.662942186055781,74
778,00001001011,0.5201555740482505,75
2010,00001001100,0.6570957634586176,76
266,00001001101,0.4743064189838645,77
2026,00001001110,0.661503490001465,78
265,00001001111,0.4742562299052864,79
1771,00001010000,0.6010762773137673,80
1528,00001010001,0.5724888590811404,81
1760,00001010010,0.5986606040481762,82
1526,00001010011,0.5723352625429773,83
1728,00001010100,0.5946167885755972,84
1340,00001010101,0.5593055976670149,85
1710,00001010110,0.5925457154118705,86
1338,00001010111,0.5592257113796361,87
1717,00001011000,0.5938408843527001,88
1470,00001011001,0.5679141294974334,89
1711,00001011010,0.5927785483970152,90
1474,00001011011,0.5680882904371256,91
1685,00001011100,0.5893522676427767,92
1282,00001011101,0.5556478395245492,93
1679,00001011110,0.5885887742563028,94
1283,00001011111,0.5556564632336806,95
2029,00001100000,0.6619261234438245,96
682,00001100001,0.5132082144860393,97
2022,00001100010,0.6608063398048756,98
603,00001100011,0.5047625889325604,99
1934,00001100100,0.6435109547861038,100
298,00001100101,0.4760069700586949,101
1953,00001100110,0.6470824588979477,102
307,00001100111,0.4764238520504172,103
2034,00001101000,0.663925352087562,104
712,00001101001,0.5147189562755274,105
2035,00001101010,0.6642630394003676,106
572,00001101011,0.5022585519026782,107
2024,00001101100,0.6610089914034677,108
210,00001101101,0.469873108869196,109
2043,00001101110,0.6674520399848947,110
204,00001101111,0.469177427457124,111
1738,00001110000,0.595239457960473,112
1505,00001110001,0.570159147962402,113
1736,00001110010,0.5950166346413985,114
1508,00001110011,0.5702821452919438,115
1688,00001110100,0.5895943702615467,116
1319,00001110101,0.5576750723370211,117
1684,00001110110,0.589043823388656,118
1323,00001110111,0.5581316465694252,119
